Customer Review,Date Of Stay,Customer Rating,Owner Responded
"The recently renovated Oberoi Hotel , New Delhi is my favorite hotel in the region. Superbly located, great size room, very comfortable bed, enough space to in pack with a walk in wardrobe, very spacious shower and bathroom area, beautiful views of the Humayun Tomb or the golf course. The 360 restaurant is also fantastic with wide variety menu options.",Date of stay: November 2022,bubble_50,"Dear Guest,  It was a pleasure having you stay with us at The Oberoi, New Delhi.  We are grateful for the wonderful things you have said about the hotel, teams and the services provided. Chefs, Manish, and their teams are delighted to know that you enjoyed your the food and service at 360, our main dining restaurant. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We look forward to your continued visits and hopefully you will get an opportunity to try all our other dining options and find them equally satisfying. We are delighted to have you as an “ambassador” for The Oberoi, New Delhi.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"What can I add to already outstanding reviews, The Oberoi New Delhi exceeded all expectations.  We had the pleasure of spending 4 nights at The Oberoi during our recent trip to India.  The Oberoi New Delhi (3 nights) The Oberoi Jaipur (2 nights) The Oberoi Agra (1 night) and The Oberoi Ranthambhore (2 nights) in a luxury tent, all were beyond our wildest dreams and I have travelled worldwide in 5* hotels, I would rate The Oberoi Hotels as 7*, worth every penny and am now spoilt as to what can equal the grandeur for any future vacations.  Well done Oberoi. Thank you",Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are glad that you had a memorable stay.  We are truly grateful for the wonderful things you have said about the hotel, team and services. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
Exceptional property. The facilities are fantastic. We particularly enjoyed both the indoor and outdoor pools as well as the great gym. Rooms are spacious and super well appointed. Ours had a gorgeous bath which was perfect. Service was excellent. There was an overall sense of calm despite the location being right in the heart of Delhi.,Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are delighted to know that you enjoyed your stay with us.  We are truly grateful for the wonderful things you have said about the hotel, teams and the services. Our elegantly designed rooms are expansive and fitted with the latest state of the art technology aimed at maximising guest comfort. I am so glad that you enjoyed your time in our temperature controlled pools. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"We stayed for a night. 6 of us. Our stay was superb. The pool, the gym, in room food from Omya (special request), minor check in issue more than made up by welcome drinks and shakes for my daugthers. Lovely welcome and departure. Overall a perfect Delhi night, warm and beautiful.  Nothing beats Oberoi Hospitality. Keep up the good work team.",Date of stay: November 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, Spa and Fitness centre lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  I have made a careful note of your comment regarding your arrival experience. Thank you for being so kind and forgiving.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"The Oberoi both in Delhi and Agra were superb.  We travel extensively and stay in many good quality hotels but the Oberoi is beautiful,  sumptuous and  comfortable .  They at the top of our list of best hotels in the world.",Date of stay: October 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are glad that you had a memorable stay.  We are truly grateful for the wonderful things you have said about the hotel, team and services. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
Outstanding service throughout the hotel from the time you arrive at the entrance to the time you depart at the exit! Hospitality unparalleled to none👍👍👍 I highly recommend the hotel to anyone wanting to unwind  and relax as I did.   The spa is fantastic and the hair salon Silhouette is the best salon you can imagine and provides outstanding facial treatments. The entire staff at Silhouette are extremely professional and attentive.,Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are delighted to know that you enjoyed your stay with us.  We are truly grateful for the wonderful things you have said about the hotel, team, and services. I am so glad that you enjoyed the food at our restaurants and the Spa  lived up to your expectations for a perfect stay. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.   All of us at The Oberoi, New Delhi look forward to welcoming you back.   Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"My wife and I have never experienced the level of personal service as we did at The Oberoi, New Delhi.  From the front door and desk, to the restaurants and housekeeping, everyone seemed truly concerned that we personally were comfortable and getting what we wanted.  And without hovering, they seemed to be interested in us, as if we were special guests. Our room was very comfortable and had a fantastic view with a huge full-wall window looking over the luxuriously green Delhi Golf Club which is directly adjacent. Both the 360 and Baoshuan restaurants within the hotel were excellent.",Date of stay: October 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are glad that you noticed our attempt to provide our guests with lush green aesthetically landscaped and tranquil surroundings. The hotel has been designed so that guests can enjoy verdant views from every aspect.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"Oberoi New Delhi, is an excellent hotel. We loved staying here with our family and Extended family for 2 weeks.   They made sure we felt at home every day. Their Housekeeping, laundry and food and beverage department are excellent.   The front desk and bell desk and concierge services are always very welcoming and make sure that the stay is smooth and comfortable.   Thank you team Delhi Oberoi.   We really enjoyed our trip to India thanks to the Oberoi group of hotels.",Date of stay: November 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   I sincerely thank you for the glowing comments about our staff, you have so fondly written about. This means a lot to all of our colleagues at The Oberoi, New Delhi. They join me in expressing gratitude. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"I want to leave my review especially to the service provided by Manisha from the first day to the last day of our visit to the hotel, always very kind and open with our two children, especially the night before returning home, she helped us get a thermometer .  We are very grateful and lucky 🙏",Date of stay: November 2022,bubble_50,"Dear Guest,   It was a pleasure having you stay with us at The Oberoi, New Delhi on your recent visit. I take this opportunity to thank you for your time in evaluating our product and services.   I sincerely thank you for the glowing comments about Manisha and our staff, you have so fondly written about. This means a lot to all of our colleagues at The Oberoi, New Delhi. They join me in expressing gratitude. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  All of us at The Oberoi, New Delhi look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"The most amazing luxurious hotel we’ve stayed in. The service was second to none! Food amazing and the choice was plentiful. The staff couldn’t do enough for you, always looking to help. We will be back. Top notch",Date of stay: November 2022,bubble_50,"Dear Guest,   It was a pleasure having you stay with us at The Oberoi, New Delhi.   We are truly grateful for the wonderful things you have said about the hotel and the services. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.   We look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"Needless to say the hotel is beautiful, clean, and has great food. What really stands out is the staff. I've never seen a staff so committed to making our stay so pleasant. A big shout to Akshat for all the help with our stay and for just being such a nice person. The concierge team was super helpful too! Helping us get transportation, reservations and suggesting places to go wedding clothes shopping.",Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are glad that you had a memorable stay.  We are grateful for the kind words of appreciation you have said about the hotel, team and services. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It’s our team that makes our hotel special – I am very lucky to have a dedicated team of ladies and gentlemen who do all they can to delight our guests and ensure they carry everlasting and fond memories. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.   We are extremely delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
We had an amazing time at the Oberoi. Staff is incredibly friendly and took care of each detail for us. Helped us to buy clothes for the wedding we are attending and reserve restaurants. The food and breakfast was delicious. I highly recommend this hotel for you to stay in India.,Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are glad that you had a memorable stay.  We are grateful for the kind words of appreciation you have said about the hotel, team and services. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It’s our team that makes our hotel special – I am very lucky to have a dedicated team of ladies and gentlemen who do all they can to delight our guests and ensure they carry everlasting and fond memories. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.   We are extremely delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"We stayed at Oberoi for one night and we were lucky enough to meet Sanjay. He drives Mercedes for Oberoi and thanks to him we were able to see new and old Delhi and have the full day of great fun visiting historical monuments.   Sanjay’s car is an office on wheels. It has wifi, air purifier, sanitizer, masks, water, chargers …   Absolutely fantastic service ! Ask for him",Date of stay: November 2022,bubble_50,"Dear Guest,   It was a pleasure having you stay with us at The Oberoi, New Delhi on your recent visit. I take this opportunity to thank you for your time in evaluating our product and services.   I sincerely thank you for the glowing comments about Sanjay and our staff, you have so fondly written about. This means a lot to all of our colleagues at The Oberoi, New Delhi. They join me in expressing gratitude. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  All of us at The Oberoi, New Delhi look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager  "
The hotel was very convenient and comfortable. The staff were very kind and helpful. The restaurant were exceptional and had wonderful time dining. I would recommend guest to choose Oberoi for their stay. ,Date of stay: November 2022,bubble_50,"Dear Guest,  I am delighted you had a memorable stay with us and we were able to exceed your expectations.   We are grateful for the wonderful things you have said about the hotel, teams and the services provided. Our Chefs are delighted to know that you enjoyed your the food restaurants. It is extremely gratifying when discerning guests such as yourself recognize our hard work and commitment. Your positive feedback is a great source of motivation for us, as we try to achieve even higher standards of service and care. We sincerely value your patronage.  We are extremely delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"I stayed at the hotel and my stay experience could have justified 4 star review, the calculation is as follows, Staff 7 stars, 360 restaurant  minus 1 star, quality/ size of gym minus 1 star, quality of property after the remodel minus 1 star.  So the best thing they have is their staff. They lose 3 more stars because of their lack of response when i have been asking them to refund the deposit i made for January 2023 booking because i had change of plans.  they are sitting on $ 2900 deposit and won't refund despite several requests.  Lack of response is unimaginable.  Be careful if you plan to stay there",Date of stay: November 2022,bubble_10,
The service was amazing. Nakshatr from food and beverage service was absolutely amazing. She organised every thing at the last moment for my meeting rooms. Karan and Ritika and Muskan  from B/C centre were really helpful. Just want to thank business centre team for there efforts throughout the day.  Regards Ananya (Eversource),Date of stay: November 2022,bubble_50,"Dear Guest,  I am delighted you had a memorable meeting/event with us and we were able to exceed your expectations.   We are truly grateful for the wonderful things you have said about the hotel, team and services. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward.  Thank you so much for appreciating Nakshtra, Karan, Ritika, Muskan and our team. People are the backbone of our hotel. With their genuine care and perceptiveness they create delightful moments for our guests, we are truly fortunate to have such an amazing team. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"Visited Delhi for the second time, just a one-night stopover. From collecting me at the airport to dropping me back, the whole stay was luxurious and calm. India is chaotic and, after a very stressful job and recently recovering from Covid, I really needed rest and care. Check in was smooth and quick, I greatly appreciated the quick room access after the long journey. The spa and therapist, food and server, were all excellent. Breakfast was divine- everything from fresh watermelon juice to local dishes to a sweet treat (or two). Thank you! The hotel knew exactly how to take care of a solo woman guest. It’s one of the best hotels I ever stayed in.",Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are glad that you had a memorable stay.  We are grateful for the kind words of appreciation you have said about the hotel, team and services. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It’s our team that makes our hotel special – I am very lucky to have a dedicated team of ladies and gentlemen who do all they can to delight our guests and ensure they carry everlasting and fond memories. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.   We are extremely delighted to have you as an “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"Really enjoyed our stay here! Excellent location, beautiful indoor and outdoor pools. First rate customer service, special thanks to Vinayak Nayak who helped greatly with our travel plans. Would suggest more Indian specialties at the breakfast buffet, would love a few North Indian options. Also, would be great to have Indian cultural activities, such as Indian music and dance.",Date of stay: October 2022,bubble_50,"Dear Guest,   It was a pleasure having you stay with us at The Oberoi, New Delhi on your recent visit. I take this opportunity to thank you for your time in evaluating our product and services.   I sincerely thank you for the glowing comments about Vinayak and our staff, you have so fondly written about. This means a lot to all of our colleagues at The Oberoi, New Delhi. They join me in expressing gratitude. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  All of us at The Oberoi, New Delhi look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"We had a great stay at the Oberoi. Everything was perfect. Very nice food for breakfast, lunch and diner (especially the Chinese restaurant), nice staff, great pool, welness. The service was outstanding, the best we have had. We have been to Taj Mahal, Old Delhi and in and around the hotel. Special thanks to Ajay and his front office staff, so helpful and friendly.",Date of stay: November 2022,bubble_50,"Dear Guest,   It was a pleasure having you stay with us at The Oberoi, New Delhi on your recent visit. I take this opportunity to thank you for your time in evaluating our product and services.   I sincerely thank you for the glowing comments about Ajay and our staff, you have so fondly written about. This means a lot to all of our colleagues at The Oberoi, New Delhi. They join me in expressing gratitude. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  All of us at The Oberoi, New Delhi look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
