Customer Review,Date Of Stay,Customer Rating,Owner Responded,Lemmatized Tokens,lemmatized
recently renovate new favorite region superbly locate great size room comfortable bed space pack walk wardrobe spacious shower bathroom area beautiful view humayun tomb golf course 360 restaurant fantastic wide variety menu option,11/22,Excellent,True,"['recently', 'renovate', 'new', 'favorite', 'region', 'superbly', 'locate', 'great', 'size', 'room', 'comfortable', 'bed', 'space', 'pack', 'walk', 'wardrobe', 'spacious', 'shower', 'bathroom', 'area', 'beautiful', 'view', 'humayun', 'tomb', 'golf', 'course', '360', 'restaurant', 'fantastic', 'wide', 'variety', 'menu', 'option']",recently renovate new favorite region superbly locate great size room comfortable bed space pack walk wardrobe spacious shower bathroom area beautiful view humayun tomb golf course 360 restaurant fantastic wide variety menu option
add outstanding review new exceed expectation pleasure spend 4 night recent trip new 3 night jaipur 2 night agra 1 night ranthambhore 2 night luxury tent wildest dream travel worldwide 5 hotel rate hotel 7 worth penny spoil equal grandeur future vacation thank,11/22,Excellent,True,"['add', 'outstanding', 'review', 'new', 'exceed', 'expectation', 'pleasure', 'spend', '4', 'night', 'recent', 'trip', 'new', '3', 'night', 'jaipur', '2', 'night', 'agra', '1', 'night', 'ranthambhore', '2', 'night', 'luxury', 'tent', 'wildest', 'dream', 'travel', 'worldwide', '5', 'hotel', 'rate', 'hotel', '7', 'worth', 'penny', 'spoil', 'equal', 'grandeur', 'future', 'vacation', 'thank']",add outstanding review new exceed expectation pleasure spend 4 night recent trip new 3 night jaipur 2 night agra 1 night ranthambhore 2 night luxury tent wildest dream travel worldwide 5 hotel rate hotel 7 worth penny spoil equal grandeur future vacation thank
exceptional property facility fantastic particularly enjoy indoor outdoor pool great gym room spacious super appoint gorgeous bath perfect service excellent overall sense calm despite location right heart,11/22,Excellent,True,"['exceptional', 'property', 'facility', 'fantastic', 'particularly', 'enjoy', 'indoor', 'outdoor', 'pool', 'great', 'gym', 'room', 'spacious', 'super', 'appoint', 'gorgeous', 'bath', 'perfect', 'service', 'excellent', 'overall', 'sense', 'calm', 'despite', 'location', 'right', 'heart']",exceptional property facility fantastic particularly enjoy indoor outdoor pool great gym room spacious super appoint gorgeous bath perfect service excellent overall sense calm despite location right heart
stay night 6 stay superb pool gym room food omya special request minor check issue welcome drink shake daugther lovely welcome departure overall perfect night warm beautiful beat hospitality good work team,11/22,Excellent,True,"['stay', 'night', '6', 'stay', 'superb', 'pool', 'gym', 'room', 'food', 'omya', 'special', 'request', 'minor', 'check', 'issue', 'welcome', 'drink', 'shake', 'daugther', 'lovely', 'welcome', 'departure', 'overall', 'perfect', 'night', 'warm', 'beautiful', 'beat', 'hospitality', 'good', 'work', 'team']",stay night 6 stay superb pool gym room food omya special request minor check issue welcome drink shake daugther lovely welcome departure overall perfect night warm beautiful beat hospitality good work team
agra superb travel extensively stay good quality hotel beautiful sumptuous comfortable list good hotel world,10/22,Excellent,True,"['agra', 'superb', 'travel', 'extensively', 'stay', 'good', 'quality', 'hotel', 'beautiful', 'sumptuous', 'comfortable', 'list', 'good', 'hotel', 'world']",agra superb travel extensively stay good quality hotel beautiful sumptuous comfortable list good hotel world
outstanding service time arrive entrance time depart exit hospitality unparalleled highly recommend want unwind relax spa fantastic hair salon silhouette good salon imagine provide outstanding facial treatment entire staff silhouette extremely professional attentive,11/22,Excellent,True,"['outstanding', 'service', 'time', 'arrive', 'entrance', 'time', 'depart', 'exit', 'hospitality', 'unparalleled', 'highly', 'recommend', 'want', 'unwind', 'relax', 'spa', 'fantastic', 'hair', 'salon', 'silhouette', 'good', 'salon', 'imagine', 'provide', 'outstanding', 'facial', 'treatment', 'entire', 'staff', 'silhouette', 'extremely', 'professional', 'attentive']",outstanding service time arrive entrance time depart exit hospitality unparalleled highly recommend want unwind relax spa fantastic hair salon silhouette good salon imagine provide outstanding facial treatment entire staff silhouette extremely professional attentive
wife experience level personal service new door desk restaurant housekeep truly concerned personally comfortable getting want hover interested special guest room comfortable fantastic view huge fullwall window look luxuriously green golf club directly adjacent 360 baoshuan restaurant excellent,10/22,Excellent,True,"['wife', 'experience', 'level', 'personal', 'service', 'new', 'door', 'desk', 'restaurant', 'housekeep', 'truly', 'concerned', 'personally', 'comfortable', 'getting', 'want', 'hover', 'interested', 'special', 'guest', 'room', 'comfortable', 'fantastic', 'view', 'huge', 'fullwall', 'window', 'look', 'luxuriously', 'green', 'golf', 'club', 'directly', 'adjacent', '360', 'baoshuan', 'restaurant', 'excellent']",wife experience level personal service new door desk restaurant housekeep truly concerned personally comfortable getting want hover interested special guest room comfortable fantastic view huge fullwall window look luxuriously green golf club directly adjacent 360 baoshuan restaurant excellent
new excellent love staying family extend family 2 week sure feel home day housekeep laundry food beverage department excellent desk bell desk concierge service welcome sure stay smooth comfortable thank team enjoy trip thank group hotel,11/22,Excellent,True,"['new', 'excellent', 'love', 'staying', 'family', 'extend', 'family', '2', 'week', 'sure', 'feel', 'home', 'day', 'housekeep', 'laundry', 'food', 'beverage', 'department', 'excellent', 'desk', 'bell', 'desk', 'concierge', 'service', 'welcome', 'sure', 'stay', 'smooth', 'comfortable', 'thank', 'team', 'enjoy', 'trip', 'thank', 'group', 'hotel']",new excellent love staying family extend family 2 week sure feel home day housekeep laundry food beverage department excellent desk bell desk concierge service welcome sure stay smooth comfortable thank team enjoy trip thank group hotel
want leave review especially service provide manisha day day visit kind open child especially night return home help thermometer grateful lucky,11/22,Excellent,True,"['want', 'leave', 'review', 'especially', 'service', 'provide', 'manisha', 'day', 'day', 'visit', 'kind', 'open', 'child', 'especially', 'night', 'return', 'home', 'help', 'thermometer', 'grateful', 'lucky']",want leave review especially service provide manisha day day visit kind open child especially night return home help thermometer grateful lucky
amazing luxurious we ve stay service second food amazing choice plentiful staff look help notch,11/22,Excellent,True,"['amazing', 'luxurious', 'we', 've', 'stay', 'service', 'second', 'food', 'amazing', 'choice', 'plentiful', 'staff', 'look', 'help', 'notch']",amazing luxurious we ve stay service second food amazing choice plentiful staff look help notch
needless beautiful clean great food stand staff I ve see staff commit make stay pleasant big shout akshat help stay nice person concierge team super helpful help transportation reservation suggest place wedding clothe shop,11/22,Excellent,True,"['needless', 'beautiful', 'clean', 'great', 'food', 'stand', 'staff', 'I', 've', 'see', 'staff', 'commit', 'make', 'stay', 'pleasant', 'big', 'shout', 'akshat', 'help', 'stay', 'nice', 'person', 'concierge', 'team', 'super', 'helpful', 'help', 'transportation', 'reservation', 'suggest', 'place', 'wedding', 'clothe', 'shop']",needless beautiful clean great food stand staff I ve see staff commit make stay pleasant big shout akshat help stay nice person concierge team super helpful help transportation reservation suggest place wedding clothe shop
amazing time staff incredibly friendly take care help buy clothe wedding attend reserve restaurant food breakfast delicious highly recommend stay,11/22,Excellent,True,"['amazing', 'time', 'staff', 'incredibly', 'friendly', 'take', 'care', 'help', 'buy', 'clothe', 'wedding', 'attend', 'reserve', 'restaurant', 'food', 'breakfast', 'delicious', 'highly', 'recommend', 'stay']",amazing time staff incredibly friendly take care help buy clothe wedding attend reserve restaurant food breakfast delicious highly recommend stay
stay night lucky meet sanjay drive mercede thank able new old day great fun visit historical monument sanjay car office wheel wifi air purifier sanitizer mask water charger absolutely fantastic service ask,11/22,Excellent,True,"['stay', 'night', 'lucky', 'meet', 'sanjay', 'drive', 'mercede', 'thank', 'able', 'new', 'old', 'day', 'great', 'fun', 'visit', 'historical', 'monument', 'sanjay', 'car', 'office', 'wheel', 'wifi', 'air', 'purifier', 'sanitizer', 'mask', 'water', 'charger', 'absolutely', 'fantastic', 'service', 'ask']",stay night lucky meet sanjay drive mercede thank able new old day great fun visit historical monument sanjay car office wheel wifi air purifier sanitizer mask water charger absolutely fantastic service ask
convenient comfortable staff kind helpful restaurant exceptional wonderful time dining recommend guest choose stay,11/22,Excellent,True,"['convenient', 'comfortable', 'staff', 'kind', 'helpful', 'restaurant', 'exceptional', 'wonderful', 'time', 'dining', 'recommend', 'guest', 'choose', 'stay']",convenient comfortable staff kind helpful restaurant exceptional wonderful time dining recommend guest choose stay
stay stay experience justify 4 star review calculation follow staff 7 star 360 restaurant minus 1 star quality size gym minus 1 star quality property remodel minus 1 star good thing staff lose 3 star lack response ask refund deposit january 2023 book change plan sit 2900 deposit will not refund despite request lack response unimaginable careful plan stay,11/22,Terrible,False,"['stay', 'stay', 'experience', 'justify', '4', 'star', 'review', 'calculation', 'follow', 'staff', '7', 'star', '360', 'restaurant', 'minus', '1', 'star', 'quality', 'size', 'gym', 'minus', '1', 'star', 'quality', 'property', 'remodel', 'minus', '1', 'star', 'good', 'thing', 'staff', 'lose', '3', 'star', 'lack', 'response', 'ask', 'refund', 'deposit', 'january', '2023', 'book', 'change', 'plan', 'sit', '2900', 'deposit', 'will', 'not', 'refund', 'despite', 'request', 'lack', 'response', 'unimaginable', 'careful', 'plan', 'stay']",stay stay experience justify 4 star review calculation follow staff 7 star 360 restaurant minus 1 star quality size gym minus 1 star quality property remodel minus 1 star good thing staff lose 3 star lack response ask refund deposit january 2023 book change plan sit 2900 deposit will not refund despite request lack response unimaginable careful plan stay
service amazing nakshatr food beverage service absolutely amazing organise thing moment meet room karan ritika muskan bc centre helpful want thank business centre team effort day regard ananya eversource,11/22,Excellent,True,"['service', 'amazing', 'nakshatr', 'food', 'beverage', 'service', 'absolutely', 'amazing', 'organise', 'thing', 'moment', 'meet', 'room', 'karan', 'ritika', 'muskan', 'bc', 'centre', 'helpful', 'want', 'thank', 'business', 'centre', 'team', 'effort', 'day', 'regard', 'ananya', 'eversource']",service amazing nakshatr food beverage service absolutely amazing organise thing moment meet room karan ritika muskan bc centre helpful want thank business centre team effort day regard ananya eversource
visit second time onenight stopover collect airport dropping stay luxurious calm chaotic stressful job recently recover covid need rest care check smooth quick greatly appreciate quick room access long journey spa therapist food server excellent breakfast divine fresh watermelon juice local dish sweet treat thank know exactly care solo woman guest good hotel stay,11/22,Excellent,True,"['visit', 'second', 'time', 'onenight', 'stopover', 'collect', 'airport', 'dropping', 'stay', 'luxurious', 'calm', 'chaotic', 'stressful', 'job', 'recently', 'recover', 'covid', 'need', 'rest', 'care', 'check', 'smooth', 'quick', 'greatly', 'appreciate', 'quick', 'room', 'access', 'long', 'journey', 'spa', 'therapist', 'food', 'server', 'excellent', 'breakfast', 'divine', 'fresh', 'watermelon', 'juice', 'local', 'dish', 'sweet', 'treat', 'thank', 'know', 'exactly', 'care', 'solo', 'woman', 'guest', 'good', 'hotel', 'stay']",visit second time onenight stopover collect airport dropping stay luxurious calm chaotic stressful job recently recover covid need rest care check smooth quick greatly appreciate quick room access long journey spa therapist food server excellent breakfast divine fresh watermelon juice local dish sweet treat thank know exactly care solo woman guest good hotel stay
enjoy stay excellent location beautiful indoor outdoor pool rate customer service special thank vinayak nayak helped greatly travel plan suggest indian specialty breakfast buffet love north indian option great indian cultural activity indian music dance,10/22,Excellent,True,"['enjoy', 'stay', 'excellent', 'location', 'beautiful', 'indoor', 'outdoor', 'pool', 'rate', 'customer', 'service', 'special', 'thank', 'vinayak', 'nayak', 'helped', 'greatly', 'travel', 'plan', 'suggest', 'indian', 'specialty', 'breakfast', 'buffet', 'love', 'north', 'indian', 'option', 'great', 'indian', 'cultural', 'activity', 'indian', 'music', 'dance']",enjoy stay excellent location beautiful indoor outdoor pool rate customer service special thank vinayak nayak helped greatly travel plan suggest indian specialty breakfast buffet love north indian option great indian cultural activity indian music dance
great stay perfect nice food breakfast lunch diner especially chinese restaurant nice staff great pool welness service outstanding good taj mahal old special thank ajay office staff helpful friendly,11/22,Excellent,True,"['great', 'stay', 'perfect', 'nice', 'food', 'breakfast', 'lunch', 'diner', 'especially', 'chinese', 'restaurant', 'nice', 'staff', 'great', 'pool', 'welness', 'service', 'outstanding', 'good', 'taj', 'mahal', 'old', 'special', 'thank', 'ajay', 'office', 'staff', 'helpful', 'friendly']",great stay perfect nice food breakfast lunch diner especially chinese restaurant nice staff great pool welness service outstanding good taj mahal old special thank ajay office staff helpful friendly
arrive late night greet entire team airport give family warmest appreciate welcome stay night breakfast room service impeccable staff live legendary service expectation,11/22,Excellent,True,"['arrive', 'late', 'night', 'greet', 'entire', 'team', 'airport', 'give', 'family', 'warmest', 'appreciate', 'welcome', 'stay', 'night', 'breakfast', 'room', 'service', 'impeccable', 'staff', 'live', 'legendary', 'service', 'expectation']",arrive late night greet entire team airport give family warmest appreciate welcome stay night breakfast room service impeccable staff live legendary service expectation
woow stay new night staff friendly consistently good highlight breakfast fantastic menu lot variety special thank imran housekeep great service keeping room spotless clean dity norden arpita shubham housekeeping worm welcome wish mean lot forget mr vinayak office give great room decoration thank rajeev arrange overall comfortable stay highly recommend new stay,11/22,Excellent,True,"['woow', 'stay', 'new', 'night', 'staff', 'friendly', 'consistently', 'good', 'highlight', 'breakfast', 'fantastic', 'menu', 'lot', 'variety', 'special', 'thank', 'imran', 'housekeep', 'great', 'service', 'keeping', 'room', 'spotless', 'clean', 'dity', 'norden', 'arpita', 'shubham', 'housekeeping', 'worm', 'welcome', 'wish', 'mean', 'lot', 'forget', 'mr', 'vinayak', 'office', 'give', 'great', 'room', 'decoration', 'thank', 'rajeev', 'arrange', 'overall', 'comfortable', 'stay', 'highly', 'recommend', 'new', 'stay']",woow stay new night staff friendly consistently good highlight breakfast fantastic menu lot variety special thank imran housekeep great service keeping room spotless clean dity norden arpita shubham housekeeping worm welcome wish mean lot forget mr vinayak office give great room decoration thank rajeev arrange overall comfortable stay highly recommend new stay
fantastic luxury look good location restaurant offer great choice food bedroom beautiful selection toiletry disappoint staying choose trip golden triangle,10/22,Excellent,True,"['fantastic', 'luxury', 'look', 'good', 'location', 'restaurant', 'offer', 'great', 'choice', 'food', 'bedroom', 'beautiful', 'selection', 'toiletry', 'disappoint', 'staying', 'choose', 'trip', 'golden', 'triangle']",fantastic luxury look good location restaurant offer great choice food bedroom beautiful selection toiletry disappoint staying choose trip golden triangle
new cleverly design business traveller tourist service hand feature miss floor bar chinese restaurant popular particularly weekend close humayun tomb exquisite mogul site miss forerunner taj mahal,11/22,Excellent,True,"['new', 'cleverly', 'design', 'business', 'traveller', 'tourist', 'service', 'hand', 'feature', 'miss', 'floor', 'bar', 'chinese', 'restaurant', 'popular', 'particularly', 'weekend', 'close', 'humayun', 'tomb', 'exquisite', 'mogul', 'site', 'miss', 'forerunner', 'taj', 'mahal']",new cleverly design business traveller tourist service hand feature miss floor bar chinese restaurant popular particularly weekend close humayun tomb exquisite mogul site miss forerunner taj mahal
good I ve stay absolutely amazing staff single member staff know need know remember preference example samanth check day arrange coffee husband day husband request coffee remember preference light milk ask unusual request take stride able happen quickly kindness beautiful spotless joy stay lovely place come sightseeing evening help feel refresh calm,11/22,Excellent,True,"['good', 'I', 've', 'stay', 'absolutely', 'amazing', 'staff', 'single', 'member', 'staff', 'know', 'need', 'know', 'remember', 'preference', 'example', 'samanth', 'check', 'day', 'arrange', 'coffee', 'husband', 'day', 'husband', 'request', 'coffee', 'remember', 'preference', 'light', 'milk', 'ask', 'unusual', 'request', 'take', 'stride', 'able', 'happen', 'quickly', 'kindness', 'beautiful', 'spotless', 'joy', 'stay', 'lovely', 'place', 'come', 'sightseeing', 'evening', 'help', 'feel', 'refresh', 'calm']",good I ve stay absolutely amazing staff single member staff know need know remember preference example samanth check day arrange coffee husband day husband request coffee remember preference light milk ask unusual request take stride able happen quickly kindness beautiful spotless joy stay lovely place come sightseeing evening help feel refresh calm
say basically choose holiday destination base service class apart praise entire staff breakfast check check entire 4 day stay name remember aratrik great help check check sanga help room spick n span provide great turn service manager time duty remember aargh check sweet double upgrade come know travel daughter premier plus room big comfortable lovely view golf course,11/22,Excellent,True,"['say', 'basically', 'choose', 'holiday', 'destination', 'base', 'service', 'class', 'apart', 'praise', 'entire', 'staff', 'breakfast', 'check', 'check', 'entire', '4', 'day', 'stay', 'name', 'remember', 'aratrik', 'great', 'help', 'check', 'check', 'sanga', 'help', 'room', 'spick', 'n', 'span', 'provide', 'great', 'turn', 'service', 'manager', 'time', 'duty', 'remember', 'aargh', 'check', 'sweet', 'double', 'upgrade', 'come', 'know', 'travel', 'daughter', 'premier', 'plus', 'room', 'big', 'comfortable', 'lovely', 'view', 'golf', 'course']",say basically choose holiday destination base service class apart praise entire staff breakfast check check entire 4 day stay name remember aratrik great help check check sanga help room spick n span provide great turn service manager time duty remember aargh check sweet double upgrade come know travel daughter premier plus room big comfortable lovely view golf course
stay mistake spend evening ensconce club bar cigar lounge absolutely stunning attentiveness skill staff ambiance lounge quality drink fantastic normally travel spend evening lounge enjoy space cancel engagement enjoy space easily cigar lounge visit globe,10/22,Excellent,True,"['stay', 'mistake', 'spend', 'evening', 'ensconce', 'club', 'bar', 'cigar', 'lounge', 'absolutely', 'stunning', 'attentiveness', 'skill', 'staff', 'ambiance', 'lounge', 'quality', 'drink', 'fantastic', 'normally', 'travel', 'spend', 'evening', 'lounge', 'enjoy', 'space', 'cancel', 'engagement', 'enjoy', 'space', 'easily', 'cigar', 'lounge', 'visit', 'globe']",stay mistake spend evening ensconce club bar cigar lounge absolutely stunning attentiveness skill staff ambiance lounge quality drink fantastic normally travel spend evening lounge enjoy space cancel engagement enjoy space easily cigar lounge visit globe
honeymoon husband birthday greet warm friendly welcome room beautiful wonderful view staff exceptional food great love breakfast great staff attentive shame do not stay long thank make honeymoon special,11/22,Excellent,True,"['honeymoon', 'husband', 'birthday', 'greet', 'warm', 'friendly', 'welcome', 'room', 'beautiful', 'wonderful', 'view', 'staff', 'exceptional', 'food', 'great', 'love', 'breakfast', 'great', 'staff', 'attentive', 'shame', 'do', 'not', 'stay', 'long', 'thank', 'make', 'honeymoon', 'special']",honeymoon husband birthday greet warm friendly welcome room beautiful wonderful view staff exceptional food great love breakfast great staff attentive shame do not stay long thank make honeymoon special
exceptional we d stay go stay oberois indian tour new standout well 5 hotel stay awful looking building especially ill pass do not tend spend time gaze outside knockout factor staff dud clearly brilliant train stay enjoyable room pay upgrade suite room 512 comfortable entrance area separate wc sitting room separate bedroom bathroom bathroom glaze bedroom fine want privacy blind bath,10/22,Excellent,True,"['exceptional', 'we', 'd', 'stay', 'go', 'stay', 'oberois', 'indian', 'tour', 'new', 'standout', 'well', '5', 'hotel', 'stay', 'awful', 'looking', 'building', 'especially', 'ill', 'pass', 'do', 'not', 'tend', 'spend', 'time', 'gaze', 'outside', 'knockout', 'factor', 'staff', 'dud', 'clearly', 'brilliant', 'train', 'stay', 'enjoyable', 'room', 'pay', 'upgrade', 'suite', 'room', '512', 'comfortable', 'entrance', 'area', 'separate', 'wc', 'sitting', 'room', 'separate', 'bedroom', 'bathroom', 'bathroom', 'glaze', 'bedroom', 'fine', 'want', 'privacy', 'blind', 'bath']",exceptional we d stay go stay oberois indian tour new standout well 5 hotel stay awful looking building especially ill pass do not tend spend time gaze outside knockout factor staff dud clearly brilliant train stay enjoyable room pay upgrade suite room 512 comfortable entrance area separate wc sitting room separate bedroom bathroom bathroom glaze bedroom fine want privacy blind bath
go superb celebrate wedding anniversary usual glad decision hospitality unbeatable entire staff go way feel special warm welcome zaid sparsh reception enter beautifully decorate room have great experience cirrus 9 stay special memorable thank entire team,11/22,Excellent,True,"['go', 'superb', 'celebrate', 'wedding', 'anniversary', 'usual', 'glad', 'decision', 'hospitality', 'unbeatable', 'entire', 'staff', 'go', 'way', 'feel', 'special', 'warm', 'welcome', 'zaid', 'sparsh', 'reception', 'enter', 'beautifully', 'decorate', 'room', 'have', 'great', 'experience', 'cirrus', '9', 'stay', 'special', 'memorable', 'thank', 'entire', 'team']",go superb celebrate wedding anniversary usual glad decision hospitality unbeatable entire staff go way feel special warm welcome zaid sparsh reception enter beautifully decorate room have great experience cirrus 9 stay special memorable thank entire team
extraordinary hotel I ve stay service kind professional simply impeccable start entry way entirety stay departure room facility immaculate luxurious dining room offer delicious varied food disappoint stay new,11/22,Excellent,True,"['extraordinary', 'hotel', 'I', 've', 'stay', 'service', 'kind', 'professional', 'simply', 'impeccable', 'start', 'entry', 'way', 'entirety', 'stay', 'departure', 'room', 'facility', 'immaculate', 'luxurious', 'dining', 'room', 'offer', 'delicious', 'varied', 'food', 'disappoint', 'stay', 'new']",extraordinary hotel I ve stay service kind professional simply impeccable start entry way entirety stay departure room facility immaculate luxurious dining room offer delicious varied food disappoint stay new
unbelievable service beautiful staff attentive going feel welcome accommodate request treat stay,11/22,Excellent,True,"['unbelievable', 'service', 'beautiful', 'staff', 'attentive', 'going', 'feel', 'welcome', 'accommodate', 'request', 'treat', 'stay']",unbelievable service beautiful staff attentive going feel welcome accommodate request treat stay
